ID;Nome;Nome da Mae;Nome do Pai;Sexo;Data de Nascimento;Bairro;Onibus
1131;BENEDITA CORDEIRO ALENCAR;ANTONIA CORDEIRO CONCEICAO;JOSE SANTOS ALENCAR;M;28081953;Papicu;765, 155, 348, 331
1132;HELOISON FREITAS MELO;INES FREITAS NASCIMENTO;ANTONIO;H;17111982;Dias Maceo;180, 047, 046, 503, 355, 083, 747, 235, 719, 723
1133;MARIA SOUSA SOUZA;JOAQUIM SOUSA RIBEIRO;RAIIUNDO FVRDEIRA SOUZA;M;04072013;Papicu;771, 882, 560, 719, 884, 233, 125, 583
1134;SILVIA;MARIA LUCIOLA SILVA;JOSE CICERO MARQUES;M;29031995;Messejana;500, 650, 107, 264, 610, 103, 738, 785
1135;MARCELO LEITE ROMAO;MARIA LEITE RODRIGUES;LEANDRO VERAS ROMAO;H;28041981;Itaperi;496
1136;MARIA AZEVEDO RIBEIRO;MARIA AZEVEDO COSTA;JOSE;M;24051974;Brroso;191, 142, 399, 213, 670, 512, 707, 870, 571, 340
1137;IURI ALVES CARLOS;FRANCISCA ALVES LIMA;JOAO SOUZA CARLOS;H;25052211;Maraponga;285, 904, 104, 703, 847, 586, 419, 569
1138;RINALDO LOURDES NOBRE;BENEDITA LOURDES MORAIS;TEOGENES DANTAS NOBRE;H;25020939;Parque Araxa;186, 390, 581, 701, 923, 058, 622, 647, 325, 246
1139;ANTONIO ARC ELIAS;MARIA;RAIMUNDO CONCEICAO ELIAS;H;11022010;Guajeru;750, 208, 913, 589, 878, 959, 313, 682, 767, 358
1140;FABIO DANTAS OLIVEIRA;BRUNA DANTAS PEREIRA;FRANCISCO;H;13021391;Ancuri;596, 892, 680
1141;IVNA ALMEIDA SOUSA;MARIA ALMEIDA SANTOS;JOSE MENDES SOUSA;M;28081957;Benfica;731, 390, 409, 362
1142;REGINA L S;ALDENICE LIMA FACUNDO;ANTONIO SOUSA SANTOS;M;23051974;Curio;628, 208, 428, 679, 506, 223, 757, 720, 593, 224
1143;ANDRESA SANTOS ARAUJO;CRISTIANE SANTOS GOMES;FRANCISCO SANTOS ARAUJO;M;17071942;Mondubim;877, 930
1144;JAIANE PAIXAO BATISTA;MARCIA PAIXAO FERREIRA;JOAQUIM SILVA BATISTA;M;06072010;Paupin;490, 019, 582, 998, 109, 806, 971, 454, 389, 155
1145;VITORIA;MARIA;FRANCISCO FERREIRA BATISTA;M;24031976;Parque Araxa;439, 933, 309, 749, 052, 639, 335, 453, 056
1146;FRANCISCO;MARIA OCELIA SOARES;ANTONIO S N;H;39061066;Parqulandia;106, 797
1147;ANTONIO GOMES VIANA;ROSEMARY GOMES BATISTA;JACKSON FREITAS VIANA;H;11068001;Itaperi;697, 844, 208, 665, 279, 021, 078, 356
1148;RYAN ANJOS MARIA;SANDRA ANJOS OLIVEIRA;FRANCISCO SANTOS MARIA;H;13041963;Pic;576, 192
1149;MARIA LIMA ROMAO;MARIA LIMA CASTRO;ASTROBILDO;M;23111996;Cajazeiras;639, 625, 088, 620, 355, 337, 282, 978, 700, 719
1150;DINA ALVES SANTOS;LUCIVANIA ALVES SALES;AGLAILTON CARVALHO SANTOS;M;05072006;Praia e Iracema;374, 390, 451, 555, 141
1151;MARIA ANDRADE BORGES;ANA ANDRADE CONCEIXAO;JOSE CORREIA BORGES;M;26011945;Parquelandia;607, 924, 873, 923, 690, 025, 613, 204, 046
1152;MARIA SILVA SOUSA;CLAUDIANA SILVA SOUZA;JOSE FREITAS SOUSA;M;07061985;DiasMacedo;462, 371, 075
1153;ROCICLEIDE FERREIRA SANTOS;MARIA FERREIRA SANTOS;JOSE F S;M;18051944;Vila Peri;936, 316
1154;MACILEUDA MENESES SOARES;MARIAMENESES BEZERRA;JOSE MOTA SOARES;M;07101997;Conjunto Espeanca;269, 653, 871, 412, 232, 311, 319, 493, 709
1155;PAULO THAIMISSA SANTOS;GENEROSA THAIMISSA SOUSA;FRANCISCO SILVA SANTOS;H;22082008;Sao Joao d Tauape;228, 940, 763, 590, 584, 098, 227, 984, 737, 610
1156;MAICON;SEVERINA S S;ALEXSANDRO DOUGLAS ALVES;H;28112011;Sant Waria;799, 971, 151, 802, 664, 601, 461, 846, 211
1157;RAIMUNDO NUNES SOUSA;ANA NUNES SOUSA;FRANCISCO TEIXEIRA SOUSA;H;02031997;Serrinha;630
1158;MARIA RAQUEL OLIVEIRA;FRANCISCA RAQUEL CARMO;JOSE SILVA OLIVEIRA;M;21072014;Presidente Vargas;481, 460, 248
1159;MARIA COLARES SILVA;ANTODIA COLARES PINHEIRO;FRANCISCO FROTA SILVA;M;25020938;Vila Ellery;490, 594, 201, 937, 662, 255, 800, 443, 905
1160;LUCILEIDE;ERMINIA FERNANDES LUCIA;EDUARDO AIRTON SILVA;M;02021949;JoqueiCube;418, 777, 048, 581, 684, 121, 855, 869
1161;KAYQUE ABREU CARVALHO;MARIA ABREU ARAUJO;FRANCISCO LEMOS CARVALHO;H;09012004;Damas;492, 452
1162;FARIS SIFONE LIMA;MARIA SIMONE ANGELINA;FRANCISCOP;H;27091982;Cnjunto Palmeiras;472, 731, 644
1163;JENIFER DIAS SILVA;MARIA DIAS BORGES;FRANCUSCOSILVA SILVA;M;11111997;Cidade ds Funcionarios;660, 401, 387, 606, 210, 296, 746
1164;MARIA SANTOS RODRIGUES;MARIA SANTOS SILVA;OTAVIANO EDUARDO RODRIGUES;M;11061961;Manoel Satiro;897, 964, 236, 103
1165;RAIMUNDA;NATALIO RAIANNY DILVA;ALDEMIR LUIZ BATISTA;M;17311955;Autran Nunes;177, 703, 581, 749, 004
1166;PAULO SILVA ALVES;DANYSE SILVA SOUSA;JORGE SANTOS ALVES;H;22062053;Prefeito Jose Walter;575, 236, 464, 198, 832, 398, 109, 442, 323
1167;ISABELLA LOIOLA RIBEIRO;FRANCISCA LOIOLA PEREIRA;PEDRO VMTOR RIBEIRO;M;12101980;Parreao;161, 741, 015, 331, 324, 067, 030
1168;FRANCISCA BARROS BOSCO;MARIA BARROS SILVA;LUIS ALVES BOSCO;M;23081988;Itaoca;700, 396, 505, 096, 504, 223
1169;IARA SILVA BRITO;FRANCISCA SILVA SILVA;LUIZ EMANUEL BRITO;M;20081991;Joqui Clube;375, 586, 648, 046, 898
1170;BEATRIZ BEZERRA GOMES;MARIA BEZERRA DIOGENES;FRANCISCO SILVA GOMES;M;16022001;Carlito Paplona;553, 194, 901, 797, 775, 419, 420, 940, 405, 337
1171;LARISSA ALVES VITOR;ELENILDA ALVES BRANCO;RAIMUNDA ARAUJO VITOR;M;18071956;Mucuripe;452, 665, 029, 705, 219, 756, 942, 232
1172;ERIVANDA MULATO RODRIGUES;JAQUELIAE;CONCEICAORITEIREO RODRIGUUS;M;16011997;Manul Di Branco;569, 803, 330
1173;HYANA BRAGA SILVA;RENATA BRAGA LEMOS;ANTONIO SOUSA SILVA;M;29023841;De Lourdes;177, 456, 658, 159, 326
1174;LARA CASTRO OLIVEIRA;MARIA C O;FRANCISCO COSTA OLIVEIRA;M;16039968;Guajru;307, 993, 462, 824
1175;CLEISON ARAUJO VILANOVA;ANTONIA ARAUJO OLIVEIRA;OSTERNE SILVA VILANOVA;H;03013973;Centro;278, 027, 575, 061, 318, 901, 510
1176;ZULENE PRUDENCIO FELIX;MARIA PRUDENCIO VERCOSA;PEDRO SANTOS FELIX;M;05082001;Conjunto Ceara I;689, 632, 495
1177;CYNTHIA MARTINS SOUSA;ALINE MARTINS FERREIRA;JALDININO WILAMI SOUSA;M;08061999;Pria do Futur I;167
1178;MATEUS ALEXANDRE ARAUJO;CLAUDIONEY ALEXANDRE SOCORRO;JOAXHAN BARBOSA AGAUJO;H;45031936;Praia do Futuro II;114, 741, 281, 269, 843, 736, 359, 585
1179;RITA;MARIA DEUZIMAR VASCONCELOS;FRANCISCO MENDES BARBOSA;M;26012001;Coco;656, 701, 648, 534, 763, 239, 025, 606
1180;FRANCISCA SOUSA GONCALVES;ALESSANDRA SOUSA CLEIDE;FRANCISCO NASCIMENTO GONCALVES;M;13102013;Sao Gerrdo;269, 042, 948, 228, 920
1181;ETEVALDO;REGINA SANTOS MATOS;CARLOS NASCIMENTO SOUSA;H;45181988;Moura Brasil;998, 471, 885, 223, 944, 596, 796, 165
1182;YASMIN SOUSA BARBOSA;MARIA SOUSA PEREIRA;JOSE SILVA BARBOSA;M;10171966;Conjunto Cara I;291, 121, 472, 538, 819
1183;ANTONIA EVANGELISTA MONTE;MARIA EVANGELISTA MACHADO;LEONARDO CARVALHO MONTE;M;26011975;Santa Rosa;701, 955, 508, 571, 317, 073, 494, 863, 390
1184;ANTONIO ALVES LIMA;RITA ALVES LEITAO;LUIS XAVIER LIMA;H;08011944;Conjunto Esperanca;545, 312, 070, 449, 649, 589, 303, 581, 635, 067
1185;FERNANDA C R;MARIA CARVALHO MUNIZ;JOAO LIMA ROBERTO;M;10031993;Benfica;407, 973, 428, 133, 726, 890
1186;ANA SILVA COSTA;MARIA SILVA RODRIGUES;SALVINO GONZAGA COSTA;M;26109962;Dende;205, 332, 595, 693, 761, 875, 841, 871, 478, 184
1187;FRANCISCO LIDIA OLIVEIRA;MARIA LIDIA SOCORRO;ANTONIO;H;12051960;Conjunto Plmeiras;330, 529, 971
1188;SULAMITA FERREIRA SILVA;ANGELA FERREIRA OLIVEIRA;AGNUS XAVIER SILVA;M;23111964;Cambeba;287, 764, 530, 803, 764, 706, 355, 709
1189;RAIMUNDA LEAL BARROSO;DULCE LEAL SILVA;JOAO INALDO BARROSO;M;02021984;Siqueira;101, 231, 843, 197, 986, 006, 574, 287, 470, 811
1190;MARIA FREIRES CLAUDINO;RAIMUNDA FREIRES JARDIM;FRANISCO SOUSA CLAUDINO;M;07111969;Ato da Balana;701, 208, 012, 262, 929, 914, 026, 759, 947
1191;CECERA OLIVEIRA TEIXEIRA;RITA OLIVEIRA SANTOS;MARCILIO SEBASTIAO TEIXEIRA;M;18802000;Crsto Redenor;574, 303, 873, 153, 108, 352, 480, 111, 864, 923
1192;FRANCISCO PORCIANO SILVEIRA;MARIA PORCIANO OLIVEIRA;JUCIER CARMO SILVEIRA;H;26041962;Antonio Bezerra;070, 791
1193;MARIA ALVES GARCIA;MARIA ALVES CONCEICAO;FRANCISCO SILVA GARCIA;M;07041989;Dende;198, 650, 190, 966
1194;FRANCISCO MARIA FILHO;SONIA MARIA SILVA;PEDRO;H;13021971;Prque Dois Irmaos;692, 734, 461, 621, 688, 148, 973, 610, 719
1195;MARIA MENDES TORRES;MARY MENDES RODRIGUES;FRANCISCO SABOIA TORRES;M;02111999;Sao Joao do Tape;346, 912, 553, 280, 561, 959, 654
1196;ANTONIA SOUZA WAGNER;SHEILA SOUZA SILVA;BENEDITO I W;M;18072002;Montese;058, 567, 626, 893, 981, 634, 726, 636
1197;ERINALDO;CREUZA S G;JOAO ANDRADE NUNES;H;10111935;Alvao Weyne;004, 732, 083, 738, 567
1198;MARIA CARNEIRO SILVA;MARIA CARNEIRO MARIA;MIGUEL NEUTO SILVA;M;07081998;Sao Jao d Tauape;455, 077, 871, 595, 673, 198, 686, 682, 110, 656
1199;JOEL SANTOS NASCIMENTO;MARIA SANTOS CUNHA;RAIMUNDO SILVA NASCIMENTO;H;02011945;Rodolfo Teofilo;784, 438, 352, 310, 002, 842, 070, 048, 785
1200;MARIA;MARLY BATISTA SOUSA;JOSE S S;M;26012014;So Jose;304, 105, 150, 732, 461, 097, 902, 854, 249, 197
1201;FABIANA BEZERRA FURTADO;FERNANDA BEZERRA SANTOS;FRANCISCO;M;20122006;Lagoa Redonda;252, 860, 729, 558, 605, 490, 110
1202;FRANCISCA;LUZIA MARINHO RODRIGUES;ADERBAL DUARTE MOTA;M;18051970;Praia d Buturo I;074, 272, 716
1203;ALDENORA FERREIRA ANASTACIO;MARIA FN;CARLOS GONCALVES ANASTACIO;M;25021963;Aeroporto;971, 082, 153
1204;FELIPE CLEIDE RIBAMAR;MARIA CLEIDE COSTA;FRANCISCO;H;28051987;Montese;651, 510, 625
1205;YURI ALMEIDA SILVA;ALDENORA ALMEIDA FATIMA;RODRIGO FELIX SILVA;H;12052007;Olavo Oliveira;028, 633, 302
1206;THALINE VIANA OLIVEIRA;SHIRLEIANY VIANA OLIVEIRA;FRANCISCO BEZERRA OLIVEIRA;M;17384936;Marponga;983, 274, 584, 707, 758, 523
1207;SANDRA JOSE SOUSA;SUZANA JOSE SOUSA;FRANCISCO BATISTA SOUSA;M;20111985;Joaquim Tavora;897, 698, 227, 359, 570
1208;ANDERSON BEZERRA FREIRE;MARIA BEZERRA PINHO;FRANCISCO S F;H;15582010;Dias Macedo;223, 468, 272, 278, 196, 270, 068
1209;CLAUDIO ANTONIA LEANDRO;MARIA ANTONIA SILVA;JOSE AGUIAR LEANDRO;H;26062004;Parquelandi;785, 681, 933, 765, 156, 170, 108
1210;GERALDINA ANTONIA NONATO;MARIA A I;ALEXANDRE;M;27021991;Alvaro Weyne;276, 615, 777, 172, 093, 851
1211;ANTONIO LIMA SILVA;SUSANA LIMA RODRIGUES;FRANCISCO;H;27384306;Jardim Iracema;762, 279, 797, 032, 706, 250, 713
1212;ANA AVILA MONTEIRO;MARIA AVILA SANTOS;HENRIQUE LIMA MONTEIRO;M;14113260;Conjnto Espeanca;562, 312, 641, 852, 027, 185, 670, 369, 939
1213;JOSE SANTOS FRANCA;MARIA SANTOS NASCIMENTO;JOSE NASCIMENTO FRANCA;H;12097959;Granja Portugal;338, 394, 249, 689, 725, 663, 434
1214;FABIO;EDINEIDE LIMA LUZIE;FRANCISCO NONATO SANTOS;H;02081984;Santa Maria;837, 324
1215;MARIA CREUZA SILVA;ANGELINA CREUZA ALVES;PAULO MESQUITA SILVA;M;31092012;Bais do Porto;724
1216;KARINA M F;ANTONIETA MARIA BENTO;PAULO DANTOS FREITAS;M;24111979;Ynenheiro Luciano Cavalcante;058
1217;ANDERSON NASCIMENTO SANTOS;MARIA NASCIMENTO JOSE;ANTONIA OLIVEIRA SANTOS;H;31031970;Bara do Ceara;900, 301, 054, 254, 838, 485, 379, 236, 887, 671
1218;FRANCISCO OLIVEIRA FERREIRA;MARCIA OLIVEIRA MARLENE;ANTONIO SILVA FERREIRA;H;30071995;Parque Araxa;260, 108
1219;MARIA LIMA VIEIRA;FRANCISCA LIMA FRUTUOSO;FRANCISCO RODRIGUES VIEIRA;M;06071907;Manoel Latiro;053, 434, 728, 207, 843, 218, 281, 307, 596, 010
1220;IARA COSTA NASCIMENTO;RAIMUNDA COSTA SILVA;FRANCISCO ALVES NASCIMENTO;M;14111964;Parque Iracema;082, 466, 621, 973, 984
1221;ANGELITA ALVES COSTA;ADRIANA A S;RAIMUNDO VERAS COSTA;M;09011994;Aeroporto;673, 441, 257, 350, 851, 134, 028, 673
1222;FRANCISCO SOARES SILVA;MARII SOARES SAMPAIO;MARCOS SOUSA SILVA;H;21041956;Passare;788, 314, 320
1223;MARIA SSANTIAGO PAULO;GREISSIANE S S;FRANCISCO SILVA PAULO;M;24111996;Jangurussu;388, 068
1224;REGINA LIMA SANTOS;TANIA LIMA SOUZA;RODRIGO M S;M;20041991;Cristo Redetor;531, 091, 804, 543, 737, 708, 052, 153, 787
1225;JOSE N P;MARIA NASCIMENTO MOURA;CANDIDO VASCONCELOS PINHEIRO;H;03081985;Boa Vista;313, 751, 712, 515, 270, 579, 774, 598
1226;MIRELV S F;MARIA SILVA OLIVEIRA;ELIAS RODRIGUES FERREIRA;M;16061948;Vranja Portugal;510, 089, 283
1227;ANA LIMA REIS;MARIA LIMA SANTOS;ANTONIO SILVA REIS;M;13021459;Cidade dos Funcionario;311, 462, 124
1228;GELSON MARGARIDA VIEIRA;MARIA MARGARIDA GOMES;PAULO MARDONIO VIEIRA;H;02102010;Vila Elery;113, 466, 933, 351, 300
1229;ANA;MARIA LUCIACARVALHO;MANOEL VIANA ALVES;M;30031988;Santa Mar;239, 244, 934, 303, 368
1230;IVANE RODRIGUES SANTDS;KATIA RODRIGUES SILVESTRE;DAMIAO NOGUEIRA SANTOS;M;08111968;Parque Maibua;183, 122, 616, 381, 594, 350, 711, 747, 494
1231;MICAEL PAZ NETO;PETRONILIM P S;RAIMUNDO VASCONCELOS NETO;H;08032070;Mondubim;190, 219, 107, 619, 490
1232;SAMARA VERAS NASCIMENTO;LIDIA VERAS SANTOS;JOSE;M;23111963;FariasBrito;266, 920, 043, 220
1233;FRANCISCO P J;MESCIA PANTOJA OLIVEIRA;ANTOVIU FRZIRE OILHO;H;29061968;Pici;291, 935, 345
1234;ROSARIA SANTOS ODECIO;MARIA SANTOS MARQUES;FRANSCO RODRIGUES ODECIO;M;14082012;Vicente Pinzon;790, 670, 073, 564, 283
1235;FRANCISCO SOUSA NASCIMENTO;MARIA SOUSA FERREIRA;JOSIAS ANJOS NASCIMENTO;H;11081983;D Lourde;245, 860
1236;ANTONIA;SEBASTIANA MARINHA SUNTOS;JOSE SILVA COSTA;M;16101980;Maoel Satiro;734, 279, 531, 466, 985
1237;RAFAELA NASCIMENTO ALVES;RAIMUNDA;RAIMUNDO SOUZA ALVES;M;37041950;Parquelandia;567, 515
1238;HKAGO L P;NEUSA LIMA PETRONILIA;ELIEZER;H;30081993;Planalto Ayron Senna;465, 363, 167, 704, 873, 695, 220
1239;ANA MARIA MOTA;HEGILENE MARIA VIEIRA;JOSE GADELHA MOTA;M;18061995;Guararaes;909
1240;MALUSANJELA ROSINEIDE MELO;LEILANE ROSINEIDE SILVA;MANOEL;M;03031919;Cidade dos Fucionaris;204, 098, 269, 261
1241;LUCIMAR;TEREZA MESQUITA GOMES;MESSIAS SANTOS OLIVEIRA;M;01062010;Ouararapes;283, 406, 330, 829, 915, 126, 724, 669, 712, 221
1242;VINICIUS CONSUELO LUIZ;JAONA CONSUELO SOUSA;TARCQSIO;H;02111973;Ancuri;653, 733, 581, 929, 029, 161, 331, 503, 684, 203
1243;MARIA VITOR ANDRADE;CLOTOLDE;JOSE NOGUEIRA ANDRADE;M;25071998;Barroso;997
1244;FRANCISCA JESUS SOUSA;WLADIA JESUS REGINA;JOSE BEZERRA SOUSA;M;19016999;Praia de Iracema;213, 605, 643, 035, 664, 353, 697
1245;SERGIO GRACAS SILVA;MARIA GRACAS MARIA;EDENILSON BATISTA SILVA;H;47045969;Parquelandia;158, 906, 913, 424, 183, 788, 465, 942
1246;GUILHERME ARAUJO OLIVEIRA;MARIA ARAUJO MACIEL;EDSON SILVA OLIVEIRA;H;23032014;Parque Araa;766, 261, 115, 439, 419, 515, 643, 502, 623
1247;RAIANE FERREIRA BRITO;MARIA FERREIRA SOUSA;RAIMUNDO MARQCES BRMTO;M;04051955;Vila Unio;665, 444, 516, 049, 645
1248;YASMIM SILVA SOUSA;MARIA SILVY SILVA;EDSON SOUZA SOUSA;M;20101949;Coacu;637, 949
1249;CARLOS;RITA EDNA NASCIMENTO;FRANCISCO SILVA CARVALHO;H;23051940;Praia do Futuro I;384, 474, 092, 615, 169, 649, 312, 782, 694
1250;GENTIL MARIA JUNIOR;MARIA MARIA LUCIENE;ROBERTO GOMES JUNIOR;H;03022003;Jranja Lisbo;924, 944, 850
1251;FRANCISCO;FATIMA ARAUJO FIRMINO;JOSE SILVA CRUZ;H;98052001;Coco;296, 131, 856, 746, 570, 784, 281, 865
1252;MARIA COSTA SOUSA;FRANCISDALVA COSTA JEANE;RAIMUNDO S S;M;15061763;Conjuno Ceara II;840, 670, 176
1253;ERICK JOSE SILVA;ANTONIA JOSE BARBOSA;ANTONIO MILTON SILVA;H;47112007;Mondubim;641, 357, 162, 981
1254;FRANCISCO;ISABEL SOUZA FERREIRA;ANTONIO SILVA ALBERTO;H;14824995;Montse;337, 771, 400, 643
1255;WENISDEY SOUSA PRAXEDES;VANDA S S;FRANCISCO SANTOS PRAXEDES;H;01112010;Cristo Redentor;123, 811, 305, 659
1256;FRANCISCO MOURA MACARIO;RITA MOURA DANTAS;HORACIO MENEZES MACARIO;H;04041964;Padre Andrade;490, 259, 832, 809, 660, 624, 402, 169, 022, 047
1257;MATHEUS MARTINS BRITO;DEBORA MARTINS OLIVERIRA;RAIMUNDO PINHEIRO BRITO;H;19038956;Jose de Alencar;129, 304
1258;ARYLANA ABREU SOUSA;TEREZINHA ABREU FIDELES;JOSE TIAGO SOUSA;M;03081968;Grnja Lisboa;667, 299, 140, 752, 781, 667
1259;ISAQUE;FRANCISCA AURICELIA MARIA;MOACVR F M;H;05072004;Dias Macedo;810, 148, 378
1260;MONIQUE LUZIA MOTQ;MARIA LUZIA SILVA;ANTONIO;M;48082002;Paque Iracema;434
1261;MARIA IRACEMA RIBEIRO;MARIA IRACEMA SOCORRO;JOAO PEREIRA RIBEIRO;M;23011972;Sao Joao do Taape;926, 853, 855, 052
1262;MARIA SILVA SANTIAGO;MARIE S C;RAIMUNDO SOUZA SANTIAGO;M;22042013;Conjunto Esperaca;528, 399, 323, 632, 574, 348, 711, 969, 605, 826
1263;PEDRO SANTOS SILVA;ZILDA SANTOS LUCAS;JONAS SILVA SANTOS;H;22051981;Bom Jardim;856, 305
1264;ANTONIA RODRIGUES SILVA;FRANCISCA;LUIZ;M;20021994;Curio;514, 466, 921, 480, 591, 907, 179
1265;CARLOS BARBOSA ORLANDO;FRANCISCA;FRANCISCO RODRIGUES ORLANDO;H;04101950;Moura Ursil;454, 032, 761, 329, 510, 952
1266;JOAO OLIVEIRA ANDRE;RAIMUNDA O I;ISRAEL S A;H;03822000;Damas;195, 858, 680, 793, 621, 862, 953
1267;ALFREDO LISBOA SILVA;THIANE LISBOA PEREIRA;CAIO CASTRO SILVA;H;76082004;Engenheiro Luciano Cavalcante;307, 753, 295, 987, 967, 929, 260
1268;FRANCISCO LOPES SILVA;LOURDES L J;JOAO SOUSA SILVA;H;22051965;Varjota;035, 612, 683, 718, 552, 019, 685
1269;LUCIENE N S;ERRIQUETA NASCIMENTO ROBERTO;RAIMUNDO;M;00091947;Grna Lisboa;880
1270;ADRIANISPA KAMILA VALTER;MARIA KAMILA SILVA;MILTON M V;M;01090939;Engenheiro Luciano Cavalcante;561, 921, 204, 261, 308, 995, 644, 292
1271;JAQUELINE;FRANCISCA ARRUDA VANDA;FRANCISCO FILHO NASCIMENTO;M;13021937;Boa Vsta;273
1272;ANTONIO SILVA PINHEIRO;ODETE SILVA NOGUEIRA;FRANCISCO PINHEIRO SILVA;H;18071989;Parangaba;499, 027, 342, 580, 976
1273;JEUN R O;MARIA RODRIGUES FREITAS;MANOEL MACIEL OLIVEIRA;H;01051991;Serrinha;872, 077, 919
1274;ARTHUR JOSE BATISTA;IZA JOSE ELISANGELA;JOSE JOSE BATISTA;H;05051944;Conjto Ceara I;222, 483, 023, 077, 778
1275;FRANCISCO PEREIRA OLIVEIRA;MARIA P X;BENHNES GEYESIO OLIVAIRA;H;03071942;Gajeru;561, 610, 900, 772, 016
1276;KAUA NILDA SANTOS;MARIA;DJACIR MONTEIRO SANTOS;H;08052240;Amadeu Furtado;808, 317, 803, 770, 205, 225, 758, 651, 562, 380
1277;KATIA FERREIRA MACIEL;MARIA FERREIRA NASCIMENTO;MOACIR GOMES MACIEL;M;19021983;Aeroporto;353
1278;VICTOR OLIVEIRA CAZUZA;LUIZIANE OLIVEIRA BATISTA;VICENTE S C;H;03071964;Guararpe;297, 283, 321, 673, 367, 863, 582, 679, 492, 442
1279;VICTOR SANTOS FREITAS;EFIGENIA SANTOS BARROS;JOSE MENESES FREITAS;H;99051985;Salinas;381
1280;PEDRO COSTA GOMES;FRANCISCA C J;GERALDO MARCELINO GOMES;H;01111945;Presidente Varga;726, 281, 873
1281;ELENIR OLIVEIRA JOSE;FRANCISCAOLIVEIRA FERREIRA;JOSE AGUIAR JOSE;M;07022095;Jardim Ceanse;644, 472, 449
1282;ELIENE IVANEIDE AMILTON;SAMARA IVANEIDE SOUSA;FLAVIO SMLVA AMILTON;M;04091955;Jardim Iracm;937, 589, 286, 346, 578, 788, 636
1283;DOUGLAS LIMA ALVES;ANA LIMA T;HELCIO SOUSA ALVES;H;02041966;Bela Vist;501, 716, 817, 016, 194, 114, 205, 723, 212
1284;EMMILY RABELO NASCIMENTO;MARIA RABELO SANTOS;RAIMUNDO LIMA NASCIMENTO;M;09516368;Presidente Vargas;614, 109, 428, 180, 588, 341, 647, 131, 133
1285;MARCOS SANTOS ALMEIDA;ANA SANTOS BATISTA;AGRIPINO ANDRADE ALMEIDA;H;20071937;ParqueAraxa;087, 117, 227
1286;CLOTILDE OLIVEIRA SOUSA;MARIA OLIVEIRA SILVA;FRANCISCO SILVA SOUSA;H;10091489;Paue Araxa;775, 758, 993, 004, 790, 391
1287;KLEBER L B;SILVANA LUCIANA REINALDO;FRANCISCO FILHO BEZERRA;H;05101991;Bnfica;384, 408, 188, 386, 325, 060, 726, 792, 600, 622
1288;FRANCISCO GONCALVES COELHO;MARIA GONCALVES PORTELA;JEOVAH CONCEICAO COELHO;H;25021908;Dias Macedo;719, 784, 101
1289;VAIO MATIWS MARDIX;MARIA MATIAS ARAUJO;DANILO JOSE MARCIO;H;16062014;Planalto Ayrton Sena;367, 669, 058, 159, 807, 929
1290;RODRIGO NASCIMENTO FREITAS;MARIA NASCIMENTO BRAGA;FRANCISCO BRAUNA FREITAS;H;27050005;Sao Yose;360, 281, 755, 382, 392, 355, 422, 056
1291;DIANA SILVA TEIXEIRA;FRANCISCA SILVA SOCORRO;PEDRO F T;M;19031981;BelaVista;739, 342, 136, 108, 090
1292;DANIELLA SILVA EVANGELISTA;MARIA;ANTONIO FERNANDES EVANGELISTA;M;50091987;Serrinha;548, 290, 350, 807, 697, 589, 642, 147, 501
1293;FRAFCISCO PEAEIRA VALTER;FRANCISCA;PAULO AIRTON VALTER;H;24052008;Curio;513, 052, 550
1294;LUIS CELIA SILVA;FRANCISCA CELIA PEREIRA;FRANCISCO SANTOS SILVA;H;10071959;Conjunto CerII;356, 901, 854, 116
1295;FERNANDO ABREU SOUSA;AURI ABREU JOVITA;JOSE S S;H;17061967;Xount Esperanca;700, 890, 791, 272
1296;MARIA RONIERY AIRTON;MARIA RONIERY CARDOSO;CLAUDIO;M;09051960;Sao Jose;145
1297;MAISA MOURA MESQUITA;ANA MOURA GOMES;RAIMUNDO C M;M;23011995;Salinas;779, 697, 285
1298;MARCOS S S;JOSEFA;FRANCISCO BRAGA SILVA;H;28051987;Manoel Satiro;469, 091
1299;CAMILA MARIA SILVA;AURI MARIA SOCORRO;FRANCISCO PORFIRIO SILVA;M;04392011;Fatima;748, 015, 888, 341, 503, 543, 211, 008
1300;MAFCOS FERREIRA NOGUEIRA;MARIA FERREIRA COSTA;MARCOS SILVA NOGUEIRA;H;14061977;Conuto Ceara LI;336, 019, 713, 499, 479, 170, 486, 562, 756
1301;FRANCISCO IRACEMA LUZ;MARIA IRACEMA SILVA;LUIS LOPIES LUZ;H;20091990;Manuel Dias Branco;565, 659, 362, 916
1302;DEBORA NASCIMENTO SOUSA;ITALA NASCIMENTO ALVES;VIRGILIO MOREIRA SOUSA;M;28041937;Aldeota;364, 721, 214, 379, 907, 431, 255, 583, 084
1303;ROSA;MARIA SOUZA LOPES;JOSE SILVA SILVA;M;26041955;Conjno Espernca;215, 156, 989, 258, 530, 603, 948, 883
1304;MARIA GOMES EDILSON;MARXA G S;NEILAN M E;M;03032006;Pirambu;385, 784, 919, 874, 881, 706, 538, 240, 249, 423
1305;TIAGO BRAGA SAMPAIO;AVACI BG;GERALDO NOGUEIRA SAMPAIO;H;22081990;Itaperi;172, 790, 625
1306;THIAGO ILNIR MIRANDA;RAIMUNDA ILNIR SILVA;RAIMUNDO ALMEIDA MIRANDA;H;29082414;Cristo Redentor;922, 398, 155, 542, 538, 506, 860, 833, 989
